 Cantina ,,Preços medio,Quan.Itens, Outubro ,, Novembro ,, Dezembro ,, Janeiro ,, Fevereiro ,, Março ,, Abril ,, Maio ,, Junho ,, Julho ,, Agosto ,, Setembro ,
 VERD. BATATA DOCE , KG ,4.189500000000001,4,,8,,4,,4,,8,,6,,6,,8,,8,,4,,4,,4,,
 VERD. BETERRABA , KG ,5.313,4,,7,,4,,4,,7,,6,,6,,7,,7,,4,,3,,3,,
 VERD. CEBOLINHA , UB ,3.69768,7,,6,,7,,8,,6,,6,,6,,6,,6,,8,,7,,7,,
 VERD. CENOURA , UB ,3.57,4,,7,,4,,4,,7,,3,,3,,7,,7,,4,,3,,3,,
 VERD. CHUCHU , KG ,4.725,3,,5,,3,,3,,5,,2,,2,,5,,5,,3,,3,,3,,
 VERD. COENTRO VERDE , UB ,3.69768,3,,5,,3,,3,,5,,5,,5,,5,,5,,3,,3,,3,,
 VERD. COUVE , UB ,3.7275,5,,9,,4,,6,,9,,6,,6,,9,,9,,6,,4,,4,,
 VERD. JILÓ , KG ,12.117,2,,3,,2,,2,,3,,1,,1,,3,,3,,2,,2,,2,,
 VERD. PEPINO , KG ,3.36,4,,8,,4,,5,,8,,6,,6,,8,,8,,5,,4,,4,,
 VERD. REPOLHO VERDE , KG ,2.94,11,,22,,11,,12,,22,,7,,7,,22,,22,,12,,10,,10,,
 VERD. TOMATE , KG ,8.4,4,,7,,4,,7,,7,,9,,9,,7,,7,,7,,4,,4,,
 VINAGRE CASTELO ALCOOL 750ML , UND ,5.48688,4,,7,,3,,4,,7,,2,,2,,7,,7,,3,,3,,3,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,R$/dia/func,
