,,2016/2017 Honda Moto PKK 1003,2016/2017 Honda Moto PKK 1003,2016/2017 Honda Moto PKK 1003,2016/2017 Honda Moto PKK 1003,2016/2017 Honda Moto PKK 1003,2016/2017 Honda Moto PKK 1003,2016/2017 Honda Moto PKK 1003,2016/2017 Honda Moto PKK 1003,2016/2017 Honda Moto PKK 1003,2016/2017 Honda Moto PKK 1003,2016/2017 Honda Moto PKK 1003,,,,,,,,
,,,2024-12-31 00:00:00,2024-12-31 00:00:00, Beg Bal,,,12000,0,12000,12000,,,,,,,,,
2016/2017 Honda Moto PKK 1003 Totals,2016/2017 Honda Moto PKK 1003 Totals,2016/2017 Honda Moto PKK 1003 Totals,2016/2017 Honda Moto PKK 1003 Totals,2016/2017 Honda Moto PKK 1003 Totals,2016/2017 Honda Moto PKK 1003 Totals,2016/2017 Honda Moto PKK 1003 Totals,2016/2017 Honda Moto PKK 1003 Totals,12000,0,12000,12000,,,,12000,9000,,,,
,,2018 Descompactador Terrus,2018 Descompactador Terrus,2018 Descompactador Terrus,2018 Descompactador Terrus,2018 Descompactador Terrus,2018 Descompactador Terrus,2018 Descompactador Terrus,2018 Descompactador Terrus,2018 Descompactador Terrus,2018 Descompactador Terrus,2018 Descompactador Terrus,,,,,,,,
,,,2024-12-31 00:00:00,2024-12-31 00:00:00, Beg Bal,,,114000,0,114000,114000,,,,,,,,,
2018 Descompactador Terrus Totals,2018 Descompactador Terrus Totals,2018 Descompactador Terrus Totals,2018 Descompactador Terrus Totals,2018 Descompactador Terrus Totals,2018 Descompactador Terrus Totals,2018 Descompactador Terrus Totals,2018 Descompactador Terrus Totals,114000,0,114000,114000,,,,114000,100000,,,,
,,2019 F4000,2019 F4000,2019 F4000,2019 F4000,2019 F4000,2019 F4000,2019 F4000,2019 F4000,2019 F4000,2019 F4000,2019 F4000,,,,,,,,
,,,2024-12-31 00:00:00,2024-12-31 00:00:00, Beg Bal,,,195000,0,195000,195000,,,,,,,,,
2019 F4000 Totals,2019 F4000 Totals,2019 F4000 Totals,2019 F4000 Totals,2019 F4000 Totals,2019 F4000 Totals,2019 F4000 Totals,2019 F4000 Totals,195000,0,195000,195000,,,,195000,170000,,,,
,,2021 Drybox 4040 DN Sprayer,2021 Drybox 4040 DN Sprayer,2021 Drybox 4040 DN Sprayer,2021 Drybox 4040 DN Sprayer,2021 Drybox 4040 DN Sprayer,2021 Drybox 4040 DN Sprayer,2021 Drybox 4040 DN Sprayer,2021 Drybox 4040 DN Sprayer,2021 Drybox 4040 DN Sprayer,2021 Drybox 4040 DN Sprayer,2021 Drybox 4040 DN Sprayer,,,,,,,,
,,,2024-12-31 00:00:00,2024-12-31 00:00:00, Beg Bal,,,1150000,0,1150000,1150000,,,,,,,,,
2021 Drybox 4040 DN Sprayer Totals,2021 Drybox 4040 DN Sprayer Totals,2021 Drybox 4040 DN Sprayer Totals,2021 Drybox 4040 DN Sprayer Totals,2021 Drybox 4040 DN Sprayer Totals,2021 Drybox 4040 DN Sprayer Totals,2021 Drybox 4040 DN Sprayer Totals,2021 Drybox 4040 DN Sprayer Totals,1150000,0,1150000,1150000,,,,1150000,1000000,,,,
,,2021 Leveling Disk Starplan,2021 Leveling Disk Starplan,2021 Leveling Disk Starplan,2021 Leveling Disk Starplan,2021 Leveling Disk Starplan,2021 Leveling Disk Starplan,2021 Leveling Disk Starplan,2021 Leveling Disk Starplan,2021 Leveling Disk Starplan,2021 Leveling Disk Starplan,2021 Leveling Disk Starplan,,,,,,,,
,,,2024-12-31 00:00:00,2024-12-31 00:00:00, Beg Bal,,,20000,0,20000,20000,,,,,,,,,
2021 Leveling Disk Starplan Totals,2021 Leveling Disk Starplan Totals,2021 Leveling Disk Starplan Totals,2021 Leveling Disk Starplan Totals,2021 Leveling Disk Starplan Totals,2021 Leveling Disk Starplan Totals,2021 Leveling Disk Starplan Totals,2021 Leveling Disk Starplan Totals,20000,0,20000,20000,,,,20000,18000,,,,
,,2023 Niveladora Tiller A30,2023 Niveladora Tiller A30,2023 Niveladora Tiller A30,2023 Niveladora Tiller A30,2023 Niveladora Tiller A30,2023 Niveladora Tiller A30,2023 Niveladora Tiller A30,2023 Niveladora Tiller A30,2023 Niveladora Tiller A30,2023 Niveladora Tiller A30,2023 Niveladora Tiller A30,,,,,,,,
,,,2024-12-31 00:00:00,2024-12-31 00:00:00, Beg Bal,,,400000,0,400000,400000,,,,,,,,,
2023 Niveladora Tiller A30 Totals,2023 Niveladora Tiller A30 Totals,2023 Niveladora Tiller A30 Totals,2023 Niveladora Tiller A30 Totals,2023 Niveladora Tiller A30 Totals,2023 Niveladora Tiller A30 Totals,2023 Niveladora Tiller A30 Totals,2023 Niveladora Tiller A30 Totals,400000,0,400000,400000,,,,400000,380000,,,,
,,Boiler,Boiler,Boiler,Boiler,Boiler,Boiler,Boiler,Boiler,Boiler,Boiler,Boiler,,,,,,,,
,,,2024-12-31 00:00:00,2024-12-31 00:00:00, Beg Bal,,,654077,0,654077,654077,,,,,,,,,
Boiler Totals,Boiler Totals,Boiler Totals,Boiler Totals,Boiler Totals,Boiler Totals,Boiler Totals,Boiler Totals,654077,0,654077,654077,,,,,,27253,27253,,
,,Chevrolet S10 18/19 QOK8422,Chevrolet S10 18/19 QOK8422,Chevrolet S10 18/19 QOK8422,Chevrolet S10 18/19 QOK8422,Chevrolet S10 18/19 QOK8422,Chevrolet S10 18/19 QOK8422,Chevrolet S10 18/19 QOK8422,Chevrolet S10 18/19 QOK8422,Chevrolet S10 18/19 QOK8422,Chevrolet S10 18/19 QOK8422,Chevrolet S10 18/19 QOK8422,,,,,,,,
,,,2024-12-31 00:00:00,2024-12-31 00:00:00, Beg Bal,,,98000,0,98000,98000,,,,,,,,,
Chevrolet S10 18/19 QOK8422 Totals,Chevrolet S10 18/19 QOK8422 Totals,Chevrolet S10 18/19 QOK8422 Totals,Chevrolet S10 18/19 QOK8422 Totals,Chevrolet S10 18/19 QOK8422 Totals,Chevrolet S10 18/19 QOK8422 Totals,Chevrolet S10 18/19 QOK8422 Totals,Chevrolet S10 18/19 QOK8422 Totals,98000,0,98000,98000,,,,100000,90000,,,,
,,DB Planter Com Taxa Variavel,DB Planter Com Taxa Variavel,DB Planter Com Taxa Variavel,DB Planter Com Taxa Variavel,DB Planter Com Taxa Variavel,DB Planter Com Taxa Variavel,DB Planter Com Taxa Variavel,DB Planter Com Taxa Variavel,DB Planter Com Taxa Variavel,DB Planter Com Taxa Variavel,DB Planter Com Taxa Variavel,,,,,,,,
,,,2024-12-31 00:00:00,2024-12-31 00:00:00, Beg Bal,,,240000,0,240000,240000,,,,,,,,,
DB Planter Com Taxa Variavel Totals,DB Planter Com Taxa Variavel Totals,DB Planter Com Taxa Variavel Totals,DB Planter Com Taxa Variavel Totals,DB Planter Com Taxa Variavel Totals,DB Planter Com Taxa Variavel Totals,DB Planter Com Taxa Variavel Totals,DB Planter Com Taxa Variavel Totals,240000,0,240000,240000,,,,240000,216000,,,,
,,Diesel Tank,Diesel Tank,Diesel Tank,Diesel Tank,Diesel Tank,Diesel Tank,Diesel Tank,Diesel Tank,Diesel Tank,Diesel Tank,Diesel Tank,,,,,,,,
,,,2024-12-31 00:00:00,2024-12-31 00:00:00, Beg Bal,,,50425.94,0,50425.94,50425.94,,,,,,,,,
Diesel Tank Totals,Diesel Tank Totals,Diesel Tank Totals,Diesel Tank Totals,Diesel Tank Totals,Diesel Tank Totals,Diesel Tank Totals,Diesel Tank Totals,50425.94,0,50425.94,50425.94,,,,,,2101,2101,,
,,Elevator Leg 1,Elevator Leg 1,Elevator Leg 1,Elevator Leg 1,Elevator Leg 1,Elevator Leg 1,Elevator Leg 1,Elevator Leg 1,Elevator Leg 1,Elevator Leg 1,Elevator Leg 1,,,,,,,,
,,,2024-12-31 00:00:00,2024-12-31 00:00:00, Beg Bal,,,60045.28,0,60045.28,60045.28,,,,,,,,,
Elevator Leg 1 Totals,Elevator Leg 1 Totals,Elevator Leg 1 Totals,Elevator Leg 1 Totals,Elevator Leg 1 Totals,Elevator Leg 1 Totals,Elevator Leg 1 Totals,Elevator Leg 1 Totals,60045.28,0,60045.28,60045.28,,,,,,2502,2502,,
,,Elevator Leg 2,Elevator Leg 2,Elevator Leg 2,Elevator Leg 2,Elevator Leg 2,Elevator Leg 2,Elevator Leg 2,Elevator Leg 2,Elevator Leg 2,Elevator Leg 2,Elevator Leg 2,,,,,,,,
,,,2024-12-31 00:00:00,2024-12-31 00:00:00, Beg Bal,,,78436.1,0,78436.1,78436.1,,,,,,,,,
Elevator Leg 2 Totals,Elevator Leg 2 Totals,Elevator Leg 2 Totals,Elevator Leg 2 Totals,Elevator Leg 2 Totals,Elevator Leg 2 Totals,Elevator Leg 2 Totals,Elevator Leg 2 Totals,78436.1,0,78436.1,78436.1,,,,,,3268,3268,,
,,Elevator Leg 3,Elevator Leg 3,Elevator Leg 3,Elevator Leg 3,Elevator Leg 3,Elevator Leg 3,Elevator Leg 3,Elevator Leg 3,Elevator Leg 3,Elevator Leg 3,Elevator Leg 3,,,,,,,,
,,,2024-12-31 00:00:00,2024-12-31 00:00:00, Beg Bal,,,91049.6,0,91049.6,91049.6,,,,,,,,,
Elevator Leg 3 Totals,Elevator Leg 3 Totals,Elevator Leg 3 Totals,Elevator Leg 3 Totals,Elevator Leg 3 Totals,Elevator Leg 3 Totals,Elevator Leg 3 Totals,Elevator Leg 3 Totals,91049.6,0,91049.6,91049.6,,,,,,3794,3794,,
,,Elevator Leg 4,Elevator Leg 4,Elevator Leg 4,Elevator Leg 4,Elevator Leg 4,Elevator Leg 4,Elevator Leg 4,Elevator Leg 4,Elevator Leg 4,Elevator Leg 4,Elevator Leg 4,,,,,,,,
,,,2024-12-31 00:00:00,2024-12-31 00:00:00, Beg Bal,,,84090.58,0,84090.58,84090.58,,,,,,,,,
Elevator Leg 4 Totals,Elevator Leg 4 Totals,Elevator Leg 4 Totals,Elevator Leg 4 Totals,Elevator Leg 4 Totals,Elevator Leg 4 Totals,Elevator Leg 4 Totals,Elevator Leg 4 Totals,84090.58,0,84090.58,84090.58,,,,,,3504,3504,,
,,Embutidora de Graos,Embutidora de Graos,Embutidora de Graos,Embutidora de Graos,Embutidora de Graos,Embutidora de Graos,Embutidora de Graos,Embutidora de Graos,Embutidora de Graos,Embutidora de Graos,Embutidora de Graos,,,,,,,,
,,,2024-12-31 00:00:00,2024-12-31 00:00:00, Beg Bal,,,60000,0,60000,60000,,,,,,,,,
Embutidora de Graos Totals,Embutidora de Graos Totals,Embutidora de Graos Totals,Embutidora de Graos Totals,Embutidora de Graos Totals,Embutidora de Graos Totals,Embutidora de Graos Totals,Embutidora de Graos Totals,60000,0,60000,60000,,,,60000,54000,,,,
,,Esteira 1,Esteira 1,Esteira 1,Esteira 1,Esteira 1,Esteira 1,Esteira 1,Esteira 1,Esteira 1,Esteira 1,Esteira 1,,,,,,,,
,,,2024-12-31 00:00:00,2024-12-31 00:00:00, Beg Bal,,,27565.34,0,27565.34,27565.34,,,,,,,,,
Esteira 1 Totals,Esteira 1 Totals,Esteira 1 Totals,Esteira 1 Totals,Esteira 1 Totals,Esteira 1 Totals,Esteira 1 Totals,Esteira 1 Totals,27565.34,0,27565.34,27565.34,,,,,,1149,1149,,
,,Esteira 2,Esteira 2,Esteira 2,Esteira 2,Esteira 2,Esteira 2,Esteira 2,Esteira 2,Esteira 2,Esteira 2,Esteira 2,,,,,,,,
,,,2024-12-31 00:00:00,2024-12-31 00:00:00, Beg Bal,,,45076.94,0,45076.94,45076.94,,,,,,,,,
Esteira 2 Totals,Esteira 2 Totals,Esteira 2 Totals,Esteira 2 Totals,Esteira 2 Totals,Esteira 2 Totals,Esteira 2 Totals,Esteira 2 Totals,45076.94,0,45076.94,45076.94,,,,,,1878,1878,,
,,Esteira 3,Esteira 3,Esteira 3,Esteira 3,Esteira 3,Esteira 3,Esteira 3,Esteira 3,Esteira 3,Esteira 3,Esteira 3,,,,,,,,
,,,2024-12-31 00:00:00,2024-12-31 00:00:00, Beg Bal,,,3010.97,0,3010.97,3010.97,,,,,,,,,
Esteira 3 Totals,Esteira 3 Totals,Esteira 3 Totals,Esteira 3 Totals,Esteira 3 Totals,Esteira 3 Totals,Esteira 3 Totals,Esteira 3 Totals,3010.97,0,3010.97,3010.97,,,,,,125,125,,
,,Extratora Silobolsa Outgrain22,Extratora Silobolsa Outgrain22,Extratora Silobolsa Outgrain22,Extratora Silobolsa Outgrain22,Extratora Silobolsa Outgrain22,Extratora Silobolsa Outgrain22,Extratora Silobolsa Outgrain22,Extratora Silobolsa Outgrain22,Extratora Silobolsa Outgrain22,Extratora Silobolsa Outgrain22,Extratora Silobolsa Outgrain22,,,,,,,,
,,,2024-12-31 00:00:00,2024-12-31 00:00:00, Beg Bal,,,100000,0,100000,100000,,,,,,,,,
Extratora Silobolsa Outgrain22 Totals,Extratora Silobolsa Outgrain22 Totals,Extratora Silobolsa Outgrain22 Totals,Extratora Silobolsa Outgrain22 Totals,Extratora Silobolsa Outgrain22 Totals,Extratora Silobolsa Outgrain22 Totals,Extratora Silobolsa Outgrain22 Totals,Extratora Silobolsa Outgrain22 Totals,100000,0,100000,100000,,,,100000,90000,,,,
,,F4000 2009 Branca JSA 0223,F4000 2009 Branca JSA 0223,F4000 2009 Branca JSA 0223,F4000 2009 Branca JSA 0223,F4000 2009 Branca JSA 0223,F4000 2009 Branca JSA 0223,F4000 2009 Branca JSA 0223,F4000 2009 Branca JSA 0223,F4000 2009 Branca JSA 0223,F4000 2009 Branca JSA 0223,F4000 2009 Branca JSA 0223,,,,,,,,
,,,2024-12-31 00:00:00,2024-12-31 00:00:00, Beg Bal,,,30000,0,30000,30000,,,,,,,,,
F4000 2009 Branca JSA 0223 Totals,F4000 2009 Branca JSA 0223 Totals,F4000 2009 Branca JSA 0223 Totals,F4000 2009 Branca JSA 0223 Totals,F4000 2009 Branca JSA 0223 Totals,F4000 2009 Branca JSA 0223 Totals,F4000 2009 Branca JSA 0223 Totals,F4000 2009 Branca JSA 0223 Totals,30000,0,30000,30000,,,,30000,30000,,,,
,,Fertilizer & Seed Filler,Fertilizer & Seed Filler,Fertilizer & Seed Filler,Fertilizer & Seed Filler,Fertilizer & Seed Filler,Fertilizer & Seed Filler,Fertilizer & Seed Filler,Fertilizer & Seed Filler,Fertilizer & Seed Filler,Fertilizer & Seed Filler,Fertilizer & Seed Filler,,,,,,,,
